Day Index,Users
1/1/23,"1,082"
1/2/23,"1,303"
1/3/23,"1,568"
1/4/23,"2,251"
1/5/23,"2,312"
1/6/23,"2,044"
1/7/23,"1,980"
1/8/23,"1,464"
1/9/23,"1,609"
1/10/23,"2,465"
1/11/23,"2,511"
1/12/23,"2,516"
1/13/23,"2,445"
1/14/23,"2,072"
1/15/23,"1,486"
1/16/23,"1,444"
1/17/23,"1,980"
1/18/23,"2,497"
1/19/23,"2,481"
1/20/23,"2,821"
1/21/23,"2,132"
1/22/23,"1,535"
1/23/23,"1,641"
1/24/23,"2,506"
1/25/23,"2,904"
1/26/23,"2,676"
1/27/23,"2,882"
1/28/23,"2,448"
1/29/23,"1,616"
1/30/23,"1,586"
1/31/23,"2,428"
2/1/23,"2,623"
2/2/23,"2,844"
2/3/23,"2,692"
2/4/23,"2,625"
2/5/23,"1,636"
2/6/23,"1,794"
2/7/23,"2,702"
2/8/23,"2,968"
2/9/23,"3,140"
2/10/23,"2,897"
2/11/23,"2,726"
2/12/23,"1,540"
2/13/23,"1,749"
2/14/23,"2,484"
2/15/23,"2,789"
2/16/23,"3,206"
2/17/23,"2,761"
2/18/23,"2,140"
2/19/23,"1,363"
2/20/23,"1,393"
2/21/23,"1,953"
2/22/23,"2,520"
2/23/23,"2,385"
2/24/23,"2,269"
2/25/23,"2,043"
2/26/23,"1,416"
2/27/23,"1,444"
2/28/23,"2,188"
3/1/23,"2,409"
3/2/23,"2,601"
3/3/23,"2,491"
3/4/23,"2,031"
3/5/23,"1,533"
3/6/23,"1,494"
3/7/23,"2,499"
3/8/23,"2,668"
3/9/23,"2,824"
3/10/23,"2,595"
3/11/23,"1,847"
3/12/23,"1,284"
3/13/23,"1,426"
3/14/23,"2,393"
3/15/23,"2,345"
3/16/23,"2,574"
3/17/23,"2,617"
3/18/23,"2,124"
3/19/23,"1,482"
3/20/23,"1,532"
3/21/23,"2,660"
3/22/23,"2,726"
3/23/23,"2,848"
3/24/23,"3,401"
3/25/23,"2,507"
3/26/23,"1,479"
3/27/23,"1,754"
3/28/23,"2,654"
3/29/23,"2,545"
3/30/23,"2,546"
3/31/23,"2,698"
4/1/23,"2,164"
4/2/23,"1,416"
4/3/23,"1,564"
4/4/23,"2,760"
4/5/23,"2,676"
4/6/23,"6,529"
4/7/23,"4,881"
4/8/23,"3,262"
4/9/23,"2,262"
4/10/23,"2,110"
4/11/23,"3,146"
4/12/23,"3,047"
4/13/23,"2,920"
4/14/23,"2,876"
4/15/23,"2,452"
4/16/23,"1,684"
4/17/23,"1,558"
4/18/23,"2,829"
4/19/23,"3,147"
4/20/23,"3,131"
4/21/23,"3,085"
4/22/23,"2,497"
4/23/23,"1,615"
4/24/23,"1,859"
4/25/23,"3,023"
4/26/23,"3,068"
4/27/23,"3,151"
4/28/23,"3,056"
4/29/23,"2,635"
4/30/23,"1,696"
5/1/23,"1,584"
5/2/23,"2,655"
5/3/23,"2,866"
5/4/23,"2,878"
5/5/23,"3,019"
5/6/23,"3,940"
5/7/23,"3,167"
5/8/23,"1,993"
5/9/23,"2,899"
5/10/23,"3,263"
5/11/23,"3,791"
5/12/23,"3,643"
5/13/23,"3,079"
5/14/23,"2,532"
5/15/23,"2,491"
5/16/23,"2,970"
5/17/23,"2,995"
5/18/23,"2,824"
5/19/23,"3,238"
5/20/23,"2,576"
5/21/23,"1,825"
5/22/23,"1,945"
5/23/23,"2,942"
5/24/23,"3,017"
5/25/23,"3,139"
5/26/23,"3,018"
5/27/23,"2,465"
5/28/23,"1,632"
5/29/23,"1,751"
5/30/23,"2,271"
5/31/23,"2,865"
6/1/23,"2,954"
6/2/23,"2,865"
6/3/23,"2,624"
6/4/23,"1,670"
6/5/23,"1,710"
6/6/23,"2,957"
6/7/23,"3,408"
6/8/23,"3,224"
6/9/23,"3,394"
6/10/23,"2,665"
6/11/23,"1,585"
6/12/23,"1,675"
6/13/23,"2,842"
6/14/23,"2,873"
6/15/23,"2,998"
6/16/23,"2,912"
6/17/23,"2,563"
6/18/23,"1,543"
6/19/23,"1,716"
6/20/23,"2,344"
6/21/23,"2,880"
6/22/23,"2,845"
6/23/23,"2,876"
6/24/23,"2,501"
6/25/23,"1,551"
6/26/23,"1,658"
6/27/23,"2,780"
6/28/23,"2,831"
6/29/23,"2,728"
6/30/23,"2,696"
